,Document,Page,Sentence
0,uk.pdf,1,National CYBER SECURITY STRATEGY - 2016-2021 
1,uk.pdf,3,12: The scope of the strategy: 
2,uk.pdf,3,17 States and state-sponsored threats
3,uk.pdf,3,22: An expanding range of devices; 
4,uk.pdf,3,22 Poor cyber hygiene and compliance
5,uk.pdf,3,22 Insufficient training and skills; 
6,uk.pdf,3,22 Legacy and unpatched systems; 
7,uk.pdf,3,23 Availability of hacking resources; 
8,uk.pdf,3,25 Roles and responsibilities; 
9,uk.pdf,3,26 Businesses and organisations; 
10,uk.pdf,3,26 Driving change; the role of the market; 
11,uk.pdf,3,"27 Driving change, expanded role for the Government; "
12,uk.pdf,4," Building a more secure Internet, Protecting government"
13,uk.pdf,4,", Protecting our critical national infrastructure and other priority sectors"
14,uk.pdf,4," Changing public and business behaviours, Managing incidents and understanding the threat"
15,uk.pdf,4,"Cybers role in deterrence, Reducing cyber crime, Countering hostile foreign actors, Preventing terrorism, Enhancing sovereign capabilities, offensive, cyber"
16,uk.pdf,4,", Enhancing sovereign capabilities, cryptography "
17,uk.pdf,4," Strengthening cyber security, skills"
18,uk.pdf,4,", Stimulating growth in the cyber security sector"
19,uk.pdf,4,", Promoting cyber security, science and technology, Effective horizon scanning "
20,uk.pdf,4,Conclusion: Cyber Security beyond 2021 
21,uk.pdf,4,"74 Annex 3 Headline implementation programme, "
22,uk.pdf,6,"National Cyber Security Strategy, 2016"
23,uk.pdf,6,The UK is one of the worlds leading digital nations
24,uk.pdf,6, Much of our prosperity now depends on our ability to secure our technology data and networks from the many threats we face
25,uk.pdf,6," Yet cyber attacks are growing, more frequent, sophisticated and damaging when they succeed"
26,uk.pdf,6, So we are taking decisive action to protect both our economy and the privacy of UK citizens
27,uk.pdf,6, Our National Cyber Security Strategy sets out our plan to make Britain confident capable and resilient in a fast-moving digital world
28,uk.pdf,6," Over the lifetime of this five-year strategy, we will invest 1"
29,uk.pdf,6,"9 billion in defending our systems and infrastructure, deterring our adversaries and developing a whole- society capability from the biggest companies to the individual citizen From the most basic cyber hygiene to the most sophisticated deterrence"
30,uk.pdf,6, We need a comprehensive response
31,uk.pdf,6," We will focus on raising the cost of mounting an attack against anyone in the UK, both through stronger defences and better cyber skills"
32,uk.pdf,6," This is no longer just an issue for the IT department, but for the whole workforce"
33,uk.pdf,6, Cyber skills need to reach into every profession
34,uk.pdf,6," The new National Cyber Security Centre will provide a hub of world-class user-friendly expertise for businesses and individuals, as well as rapid response to major incidents"
35,uk.pdf,6," Government has a clear leadership role, but we will also foster a wider commercial ecosystem"
36,uk.pdf,6, Recognising where industry can innovate faster than us
37,uk.pdf,6,", This includes a drive to get the best young minds into cyber security"
38,uk.pdf,6, The cyber threat impacts the whole of our society
39,uk.pdf,6, So we want to make very clear that everyone has a part to play in our national response
40,uk.pdf,6, Why this strategy is an unprecedented exercise in transparency
41,uk.pdf,6,", We can no longer afford to have this discussion behind closed doors"
42,uk.pdf,6," Ultimately, this is a threat that cannot be completely eliminated"
43,uk.pdf,6, Digital technology works because it is open and that openness brings with it risk
44,uk.pdf,6, What we can do is reduce the threat to a level that ensures we remain at the vanguard of the digital revolution
45,uk.pdf,7," This strategy sets out how The Rt Hon Philip Hammond MP, Chancellor of the Exchequer, National Cyber Security Strategy, 2016"
46,uk.pdf,7,"As Minister for the Cabinet Office with responsibility for cyber security and government security, I am determined to see this strategy implemented in full"
47,uk.pdf,7," I will work closely with colleagues across Government and with partners in the Devolved Administrations, the wider public sector, industry and academia to ensure we achieve that ambition"
48,uk.pdf,7," The Rt Hon Ben Gummer MP, Minister for the Cabinet Office and Paymaster General PREFACE "
49,uk.pdf,7,Our primary responsibility is to keep the nation safe and deliver competent government
50,uk.pdf,7, This strategy reflects these duties
51,uk.pdf,7, It is a bold and ambitious approach to tackling the many threats our country faces in cyberspace
52,uk.pdf,7," Managing and mitigating those threats is a task for us all, but the Government recognises its special responsibility to lead the national effort required"
53,uk.pdf,7, The Government is committed to ensuring the commitments set out in this strategy are carried out and that we accurately monitor and regularly report on progress in meeting them
54,uk.pdf,7, We will also keep our approach under review and respond to changes in the level of threat we face as well as evolutions in security
55,uk.pdf,7," Government also has a special responsibility to the citizen, to companies and organisations operating in the UK and to our international allies and partners"
56,uk.pdf,7, We should be able to assure them that every effort made has been to render our systems safe and to protect our data and our networks from attack or interference
57,uk.pdf,7," We must therefore set ourselves the highest standards of cyber security and ensure we adhere to them, both as the cornerstone of the countrys national security and economic wellbeing and also as an example for others to follow"
58,uk.pdf,7, We shall report back on progress made on an annual basis
59,uk.pdf,8," National Cyber Security Strategy, 2016"
60,uk.pdf,9,"National Cyber Security Strategy, 2016Section 1 EXECUTIVE SUMMARY"
61,uk.pdf,9,"9, The future of the UKs security and prosperity, rests on digital foundations"
62,uk.pdf,9, The challenge of our generation is to build a flourishing digital society that is both resilient to cyber threats and equipped with the knowledge and capabilities required to maximise opportunities and manage risks
63,uk.pdf,9,We are critically dependent on the Internet
64,uk.pdf,9,", However, it is inherently insecure and there will always be attempts to exploit weaknesses to launch cyber attacks"
65,uk.pdf,9," This threat cannot be eliminated completely, but the risk can be greatly reduced to a level that allows society to continue to prosper and benefit from the huge opportunities that digital technology brings"
66,uk.pdf,9, The 2011 National Cyber Security 
67,uk.pdf,9,"Strategy, underpinned by the British Governments, 860m National Cyber Security Programme, has delivered substantial improvements to UK cyber security"
68,uk.pdf,9, It achieved important outcomes by looking to the market to drive secure cyber behaviours
69,uk.pdf,9,", But this approach has not achieved the scale and pace of change required to stay ahead of the fast moving threat"
70,uk.pdf,9, We now need to go further
71,uk.pdf,9,"Our vision for 2021 is that the UK is secure and resilient to cyber threats, prosperous and confident in the digital world"
72,uk.pdf,9," To realise this vision, we will work to achieve the following objectives: DEFEND We have the "
73,uk.pdf,9,"Means to defend the UK against evolving cyber threats, to respond effectively to incidents to ensure UK networks, data and systems are protected and resilient"
74,uk.pdf,9," Citizens, businesses and the public sector have the knowledge and ability to defend themselves"
75,uk.pdf,9, Deter The UK will be a hard target for all forms of aggression in cyberspace
76,uk.pdf,9," We detect, understand, investigate and disrupt hostile action taken against us pursuing and prosecuting offenders"
77,uk.pdf,9, We have the means to take offensive action in cyberspace
78,uk.pdf,9, Should we choose to do so DEVELOP
79,uk.pdf,9,"An innovative growing cyber security industry, underpinned by world- leading scientific research and development"
80,uk.pdf,9," - We have a self-sustaining pipeline of talent, providing the skills to meet our national needs across the public and private sectors"
81,uk.pdf,9, Our cutting-edge analysis and expertise will enable the UK to meet and overcome future threats and challenges
82,uk.pdf,9,"Underpinning these objectives, we will pursue INTERNATIONAL ACTION and exert our influence by investing in partnerships that shape the global evolution of cyberspace in a manner that advances our wider economic and security interests"
83,uk.pdf,9,", We will deepen existing links with our closest international partners, recognising that this enhances our Collective security"
84,uk.pdf,9,", We will also develop relationships with new partners to build their levels of cyber security and protect UK interests"
85,uk.pdf,9," We will do this both bilaterally and multilaterally, including through the EU, NATO and the UN"
86,uk.pdf,9, We will deliver clear messages about consequences to adversaries who threaten to harm our interests or those of our allies in cyberspace
87,uk.pdf,9," To achieve these outcomes over the next five years, the UK Government intends to intervene more actively and use increased investment while continuing National Cyber Security Strategy"
88,uk.pdf,10," We will have the means to respond to cyber attacks in the same way as we respond to any other attack using whichever capability is most appropriate, including an offensive cyber capability"
89,uk.pdf,10,"We will use the authority and influence of the UK Government to invest in programmes to address the shortage of cyber security skills in the UK, from schools to universities and across the workforce"
90,uk.pdf,10,We will launch two new cyber innovation centres to drive the development of cutting-edge cyber products and dynamic new cyber security companies
91,uk.pdf,10, We will also allocate a proportion of the 165m Defence and Cyber Innovation Fund to support innovative procurement in defence and security
92,uk.pdf,10,We will invest a total of 1
93,uk.pdf,10,9 billion over the next five years to transform significantly the UKs cyber security 
94,uk.pdf,10,To support market forces to raise cyber security standards across the UK
95,uk.pdf,10,", The UK Government, in partnership with the Devolved Administrations of Scotland, Wales and Northern Ireland, will work with the private and public sectors to ensure that individuals, businesses and organisations adopt the behaviours required to stay safe"
96,uk.pdf,10,", We will have measures in place to intervene, (, where necessary and within the scope of our powers, ) to drive improvements that are in the national interest, particularly in relation to the cyber security of our critical national infrastructure"
97,uk.pdf,10, The UK Government will draw on its capabilities and those of industry to develop and apply active cyber defence measures to significantly enhance the levels of cyber security across UK networks
98,uk.pdf,10," These measures include minimising the most common forms of phishing attacks, filtering known, bad IP addresses and actively blocking malicious online activity"
99,uk.pdf,10, Improvements in basic cyber security will raise the UKs resilience to the most commonly deployed cyber threats
100,uk.pdf,10,"We have created a National Cyber Security Centre, ( NCSC ), to be the authority on the UKs cyber security environment, sharing knowledge, addressing systemic vulnerabilties and providing leadership on key national cyber security issues"
101,uk.pdf,10,We will ensure that our Armed Forces are resilient and have the strong cyber defences they need to secure and defend their networks and platforms continuing to operate and retaining global freedom of manoeuvre
102,uk.pdf,10,", Our military Cyber Security Operations Centre will work closely with the NCSC and we will ensure that the Armed Forces can assist in the event of a significant national cyber attack, 1 Understanding, the threats to networks and then devising and implementing measures to proactively combat Or defend against those threats"
103,uk.pdf,11," See Glossary for an explanation of all technical terms: National Cyber Security Strategy, 2016Section 1 EXECUTIVE SUMMARY"
104,uk.pdf,11,"11, Section 1, EXECUTIVE, SUMMARY "
105,uk.pdf,11,National Cyber Security Strategy - 2016 
106,uk.pdf,13,"National Cyber Security Strategy, 2016Section 2 INTRODUCTION"
107,uk.pdf,13,13 Information and communication 
108,uk.pdf,13,Technologies have evolved over the last two decades and are now integrated into virtually every aspect of our lives
109,uk.pdf,13, The UK is a digitalised society
110,uk.pdf,13, Our economy and our daily lives are the richer for it
111,uk.pdf,13, The transformation brought about by this digitalisation creates new dependencies
112,uk.pdf,13," Our economy, the administration of government and the provision of essential services now rely on the integrity of cyberspace and on the infrastructure systems and data which underpin it"
113,uk.pdf,13," A loss of trust in that integrity would jeopardise the benefits of this technological revolution, determination to address cyber threats and put in place tough and innovative measures as a world leader in cyber security"
114,uk.pdf,13," This National Cyber Security Strategy delivers on that commitment In preparing this new strategy, "
115,uk.pdf,13,"The Government is building on the achievements, objectives and judgements of the first five-year National Cyber Security Strategy issued in 2011"
116,uk.pdf,13, The Government invested 860m over that period and is proud of what has been achieved
117,uk.pdf,13," The policies, institutions and initiatives developed over the last five years have helped to establish the UK as a leading global player in cyber security"
118,uk.pdf,13,"Much of the hardware and software originally developed to facilitate this interconnected digital environment has prioritised efficiency, cost and the convenience of the user, but has not always had security designed in from the start"
119,uk.pdf,13," Hostile states, criminal or terrorist organisations and individuals can exploit the gap between convenience and security"
120,uk.pdf,13, Narrowing that gap is a national priority
121,uk.pdf,13, These are sound foundations
122,uk.pdf,13,But the persistence and ingenuity of those who would threaten us the prevalence of our vulnerabilities and gaps in our capabilities and defences mean we need to work even harder to keep pace with the threat
123,uk.pdf,13, A comprehensive approach is required if we are to effectively secure our cyber interests
124,uk.pdf,13," Our resolution to make further investment and interventions is based on the following assessments: The expansion of the Internet, "
125,uk.pdf,13,Beyond computers and mobile phones into other cyber-physical or smart systems is extending the threat of remote exploitation to a whole host of new technologies
126,uk.pdf,13," Systems and technologies that underpin our daily lives, such as power grids, air traffic control systems, satellites, medical technologies, industrial plants and traffic lights Are connected to the Internet and therefore potentially vulnerable to interference The 2015 National Security "
127,uk.pdf,13,"Strategy, ( NSS ) reaffirmed the cyber threat as a Tier One risk to UK interests"
128,uk.pdf,13," The NSS set out the Governments, the scale and dynamic nature of cyber threats and our vulnerability and dependency mean that maintaining the current approach will not in itself be sufficient to keep us safe"
129,uk.pdf,13, A market based approach to the promotion of cyber hygiene has not produced the required pace and scale of change
130,uk.pdf,13," Therefore, Government has to lead the way and intervene more directly by bringing its influence and resources to bear to address cyber threats"
131,uk.pdf,13, The Government alone cannot provide 
132,uk.pdf,13,"For all aspects of the nations, cyber security"
133,uk.pdf,13,", An embedded and sustainable approach is needed"
134,uk.pdf,14," National Cyber Security Strategy, 2016Section 2INTRODUCTION"
135,uk.pdf,14,"14, where citizens, industry and other partners in society and government play their full part in securing our networks, services and data"
136,uk.pdf,14," The UK needs a vibrant cyber security sector and supporting skills base that can keep pace with and get ahead of the changing threat, THE SCOPE OF THE STRATEGY "
137,uk.pdf,14,"This strategy is intended to shape the Governments policy, while also offering a coherent and compelling vision to share with the public and private sector, civil society, academia and the wider population"
138,uk.pdf,14, The strategy covers the whole of the UK
139,uk.pdf,14," The UK Government will seek to ensure the strategy is implemented for all parts of the UK, recognising that, to the extent that it touches on devolved matters, we will work closely with the devolved Governments on its application to Scotland, Wales and Northern Ireland ( respecting the three Separate legal jurisdictions and four education systems that exist in the UK ), Where proposals set out in the strategy relate to devolved matters"
140,uk.pdf,14, Their implementation will be agreed as appropriate with those Governments in accordance with the devolution settlements
141,uk.pdf,14,The strategy sets out proposed or recommended actions aimed at all sectors of the economy and society from central government departments to leaders across industry and the individual citizen
142,uk.pdf,14, The strategy aims to increase National Cyber Security Strategy
143,uk.pdf,15,"15, Section 2 INTRODUCTION "
144,uk.pdf,15,Cyber security at all levels for our collective benefit and will be the basis on which the UK engages internationally to promote good internet governance In this strategy
145,uk.pdf,15," Cyber security refers to the protection of information systems, ( hardware, software and associated infrastructure, ) the data on them and the services they provide from unauthorised access, harm or misuse"
146,uk.pdf,15, This includes harm caused intentionally by the operator of the system or accidentally as a result of failing to follow security procedures
147,uk.pdf,15,"Consistent with our assessment of the challenge we face and building on the achievements of the 2011 strategy, this document sets out our updated assessment of the "
148,uk.pdf,15,"Strategic context, including the current and evolving threats, who poses the most serious threat to our interests and the tools at their disposal, a review of vulnerabilities and how these have developed over the last five years"
149,uk.pdf,15, The Governments vision for cyber 
150,uk.pdf,15,"Security in 2021 and the key objectives to achieve that goal, including guiding principles, roles and responsibilities and how and where government intervention will make a difference"
151,uk.pdf,15," How we intend to put our policy into practice, setting out where the Government will lead and where we expect to work"
152,uk.pdf,15," In partnership with others, and how we intend to assess our progress towards our objectives, "
153,uk.pdf,15,National Cyber Security Strategy - 2016 
154,uk.pdf,17,"National Cyber Security Strategy, 2016Section 3 STRATEGIC CONTEXT"
155,uk.pdf,17,", When the last National Cyber Security Strategy was published in 2011, the scale of technological change and its impact was already apparent"
156,uk.pdf,17, The trends and opportunities described then have since accelerated
157,uk.pdf,17,", New technologies and applications have come to the fore and greater uptake of internet-based technologies worldwide, in particular in developing countries, has offered increasing opportunities for economic and social development"
158,uk.pdf,17, These developments have brought or will bring significant advantages to connected societies such as ours
159,uk.pdf,17,", But as our reliance on networks in the UK and overseas grows, so do the opportunities for those who would seek to compromise our systems and data"
160,uk.pdf,17," Equally, the geopolitical landscape has changed"
161,uk.pdf,17, Malicious cyber activity knows no international boundaries
162,uk.pdf,17, State actors are experimenting with offensive
163,uk.pdf,17, Cyber criminals are broadening their efforts and expanding their strategic modus operandi
164,uk.pdf,17," To achieve higher value pay-outs from UK citizens, organisations and institutions"
165,uk.pdf,17, Terrorists and their sympathisers are conducting low-level attacks and aspire to carry out more significant acts
166,uk.pdf,17," This chapter sets out our assessment of the nature of these threats, our vulnerabilities and how these continue to evolve"
167,uk.pdf,17,"This strategy deals with cyber crime in the context of two interrelated forms of criminal activity, cyber-dependent crimes, crimes, "
168,uk.pdf,17,That can be committed only through the use of Information and Communications Technology
169,uk.pdf,17," ( ICT ) devices, where the devices are both the tool for committing the crime and the target of the crime"
170,uk.pdf,17," developing and propagating malware for financial gain, hacking to steal damage, distort or destroy data, and/or network or activity ) and cyber-enabled crimes"
171,uk.pdf,17,"Crimes which can be increased in scale or reach by the use of computers, computer networks or other forms of ICT (, such as cyber-enabled fraud and data theft, ) "
172,uk.pdf,17,"Much of the most serious cyber crime, mainly fraud theft and extortion against the UK, continues to be perpetrated predominantly by financially motivated Russian-language organised criminal groups, ( OCGs ) in Eastern Europe, with many of the criminal marketplace, services being hosted in these countries"
173,uk.pdf,18," However, the threat also emanates from other countries and regions and from inside the UK itself, with emerging threats from South Asia and West Africa of increasing concern National Cyber Security Strategy, 2016Section 3STRATEGIC CONTEXT"
174,uk.pdf,18,"18, Even when key individuals "
175,uk.pdf,18,Responsible for the most damaging cyber criminal activities against the UK are identified
176,uk.pdf,18, It is often difficult for the UK and international law enforcement agencies to prosecute them when they are located in jurisdictions with limited or no extradition arrangements
177,uk.pdf,18, These OCGs are principally 
178,uk.pdf,18,"Responsible for developing and deploying the increasingly advanced malware that infects the computers and networks of UK citizens, our industry and government"
179,uk.pdf,18," The impact is dispersed throughout the UK, but the cumulative effect is significant"
180,uk.pdf,18," These attacks are becoming increasingly aggressive and confrontational, as illustrated by the increasing use of ransomware and threats of distributed denial of service (, DDoS ) for extortion"
181,uk.pdf,18,"Whilst OCGs may pose a significant threat to our collective prosperity and security, equally of concern is the continuing threat from acts of less sophisticated but widespread cyber crimes carried out against individuals or smaller organisations"
182,uk.pdf,18," Internet banking fraud, which covers fraudulent payments taken from a customers bank account using the internet"
183,uk.pdf,18, Banking channel rose by 64 % to 133
184,uk.pdf,18,", The number of cases increased at a lower rate of 23 %, which Financial Fraud Action UK said is evidence of the growing trend for criminals to target business and high net-worth customers"
185,uk.pdf,18,States and state-sponsored threats: 
186,uk.pdf,18,"We regularly see attempts by states and state-sponsored groups to penetrate UK networks for political, diplomatic, technological, commercial and strategic advantage with a principal focus on the government, defence, finance, energy and telecommunications sectors"
187,uk.pdf,18, The capacity and impact of 
188,uk.pdf,18,"These state cyber programmes, varies"
189,uk.pdf,18," The most advanced nations, continue to improve their capabilities at pace, integrating encryption and anonymisation services into their tools in order to remain covert"
190,uk.pdf,18," While they have the technical capability to deploy sophisticated attacks, they can often achieve their aims using basic tools and techniques against vulnerable targets, because the defences of their victims are poor"
191,uk.pdf,18,Only a handful of states have the technical capabilities to pose a serious threat to the UKs overall security and prosperity
